sec;CHP;Electrolysis;Heatpump;Boiler;Beladen TES;Entladen TES;date
1080000;-1;-1;-1;-1;-1;-1;13.01.2018 11:59
1083600;-1;-1;-1;-1;-1;-1;13.01.2018 12:59
1087200;-1;-1;-1;-1;-1;-1;13.01.2018 13:59
1090800;-1;-1;-1;-1;-1;-1;13.01.2018 14:59
1094400;-1;-1;-1;-1;-1;-1;13.01.2018 15:59
1098000;-1;-1;-1;-1;-1;-1;13.01.2018 16:59
1101600;-1;-1;-1;-1;-1;-1;13.01.2018 17:59
1105200;-1;-1;-1;-1;-1;-1;13.01.2018 18:59
1108800;-1;-1;-1;-1;-1;-1;13.01.2018 19:59
1112400;-1;-1;-1;-1;-1;-1;13.01.2018 20:59
1116000;-1;-1;-1;-1;-1;-1;13.01.2018 21:59
1119600;-1;-1;-1;-1;-1;-1;13.01.2018 22:59
1123200;-1;-1;-1;-1;-1;-1;13.01.2018 23:59
1126800;-1;-1;-1;-1;-1;-1;14.01.2018 00:59
1130400;-1;-1;-1;-1;-1;-1;14.01.2018 01:59
1134000;-1;-1;-1;-1;-1;-1;14.01.2018 02:59
1137600;-1;-1;-1;-1;-1;-1;14.01.2018 03:59
1141200;-1;-1;-1;-1;-1;-1;14.01.2018 04:59
1144800;-1;-1;-1;-1;-1;-1;14.01.2018 05:59
1148400;-1;-1;-1;-1;-1;-1;14.01.2018 06:59
1152000;-1;-1;-1;-1;-1;-1;14.01.2018 07:59
1155600;-1;-1;-1;-1;-1;-1;14.01.2018 08:59
1159200;-1;-1;-1;-1;-1;-1;14.01.2018 09:59
1162800;-1;-1;-1;-1;-1;-1;14.01.2018 10:59
1166400;-1;-1;-1;-1;-1;-1;14.01.2018 11:59
1170000;-1;-1;-1;-1;-1;-1;14.01.2018 12:59
1173600;-1;-1;-1;-1;-1;-1;14.01.2018 13:59
1177200;-1;-1;-1;-1;-1;-1;14.01.2018 14:59
1180800;-1;-1;-1;-1;-1;-1;14.01.2018 15:59
1184400;-1;-1;-1;-1;-1;-1;14.01.2018 16:59
1188000;-1;-1;-1;-1;-1;-1;14.01.2018 17:59
1191600;-1;-1;-1;-1;-1;-1;14.01.2018 18:59
1195200;-1;-1;-1;-1;-1;-1;14.01.2018 19:59
1198800;-1;-1;-1;-1;-1;-1;14.01.2018 20:59
1202400;-1;-1;-1;-1;-1;-1;14.01.2018 21:59
1206000;-1;-1;-1;-1;-1;-1;14.01.2018 22:59
1209600;-1;-1;-1;-1;-1;-1;14.01.2018 23:59
1213200;-1;-1;-1;-1;-1;-1;15.01.2018 00:59
1216800;-1;-1;-1;-1;-1;-1;15.01.2018 01:59
1220400;-1;-1;-1;-1;-1;-1;15.01.2018 02:59
1224000;-1;-1;-1;-1;-1;-1;15.01.2018 03:59
1227600;-1;-1;-1;-1;-1;-1;15.01.2018 04:59
1231200;-1;-1;-1;-1;-1;-1;15.01.2018 05:59
1234800;-1;-1;-1;-1;-1;-1;15.01.2018 06:59
1238400;-1;-1;-1;-1;-1;-1;15.01.2018 07:59
1242000;-1;-1;-1;-1;-1;-1;15.01.2018 08:59
1245600;-1;-1;-1;-1;-1;-1;15.01.2018 09:59
1249200;-1;-1;-1;-1;-1;-1;15.01.2018 10:59
1252800;-1;-1;-1;-1;-1;-1;15.01.2018 11:59
1256400;-1;-1;-1;-1;-1;-1;15.01.2018 12:59
1260000;-1;-1;-1;-1;-1;-1;15.01.2018 13:59
1263600;-1;-1;-1;-1;-1;-1;15.01.2018 14:59
1267200;-1;-1;-1;-1;-1;-1;15.01.2018 15:59
1270800;-1;-1;-1;-1;-1;-1;15.01.2018 16:59
1274400;-1;-1;-1;-1;-1;-1;15.01.2018 17:59
1278000;-1;-1;-1;-1;-1;-1;15.01.2018 18:59
1281600;-1;-1;-1;-1;-1;-1;15.01.2018 19:59
