HOUR;E_th_RH_HH;E_th_TWE_HH;E_el_HH;E_th_RH_GHD;E_th_TWE_GHD;E_el_GHD;E_th_KL_GHD;E_th_loss
27036000;126.1300542;11.59237842;32.28059325;110.6514033;0;5.226632745;0;0
27036900;128.6430358;16.42257247;32.43706765;113.540918;0;5.089277406;0;0
27037800;130.9321112;15.94716041;31.91029786;114.3488808;0;4.971165852;0;0
27038700;135.8282062;16.23833766;30.50865186;114.694898;0;4.861886388;0;0
27039600;131.6504252;37.22062954;30.13796064;115.6614808;0;4.806447162;0;0
27040500;126.807892;20.12463102;28.64141434;116.6792729;0;4.812509672;0;0
27041400;124.9115392;12.00475369;25.70146274;117.3100631;0;4.858575064;0;0
27042300;125.72786;9.578960693;23.97014642;117.4762816;0;4.921666527;0;0
27043200;128.1590931;10.84592254;22.41772435;117.9730874;0;4.953851206;0;0
27044100;128.9279113;16.97710033;21.07773055;118.3451963;0;4.933762437;0;0
27045000;137.311538;8.02750807;20.59985313;118.8170002;0;4.869372537;0;0
27045900;138.1926795;3.92535848;20.12941462;119.0423598;0;4.77612891;0;0
27046800;136.8701408;2.85191681;18.88928489;119.3128238;0;4.706237872;0;0
27047700;132.6998522;0.879622668;18.0710299;119.5188595;0;4.670975928;0;0
27048600;133.9580503;3.800617161;17.65196968;119.7119415;0;4.678382947;0;0
27049500;138.7376114;3.9954314;18.14520335;119.8331616;0;4.689201801;0;0
27050400;139.6693295;0.242677655;17.25226674;119.9776117;0;4.688923448;0;0
27051300;139.1884832;3.867242801;16.15068392;118.9621045;0;4.671997074;0;0
27052200;139.7776506;3.85118189;15.22261183;119.0697042;0;4.63465052;0;0
27053100;142.0683816;0.946778407;14.68658257;119.0352283;0;4.619334934;0;0
27054000;142.3582396;2.78478477;14.44327503;118.9956977;0;4.639818148;0;0
27054900;140.6946098;6.52099161;14.54419373;116.4264393;0;4.731416248;0;0
27055800;139.4459392;9.536645153;14.48852662;116.5180876;0;4.868776648;0;0
27056700;144.5047405;2.4432145;14.70013045;116.3887447;0;5.021957319;0;0
27057600;147.1599337;22.38622756;14.86007686;116.0099457;0;5.148327171;0;0
27058500;148.1585891;10.1014131;16.43009409;114.1833636;0;5.217012927;0;0
27059400;151.0512833;8.335016871;15.76732933;114.0879626;0;5.247881219;0;0
27060300;154.4219617;11.35085697;15.8673588;114.0915827;0;5.246426865;0;0
27061200;150.2657393;19.35661029;16.24938565;113.5678928;0;5.256993242;0;0
27062100;147.7397262;21.01359819;17.29588148;113.5355411;0;5.290427176;0;0
27063000;150.6581775;56.00963116;17.87335265;113.2960562;0;5.388815791;0;0
27063900;157.1550714;45.05871095;18.39069768;113.4295634;0;5.548717572;0;0
27064800;173.1825304;56.81453557;20.26671879;113.2515059;0;5.82189237;0;0
27065700;163.6185725;54.76411992;22.09706413;116.3047321;0;6.198762784;0;0
27066600;159.4686244;49.52088059;23.56919873;116.1284566;0;6.667380894;0;0
27067500;183.9181813;57.02534284;25.8595978;116.3845196;0;7.186104217;0;0
27068400;186.9353825;51.21867713;26.80487633;116.6260122;0;7.706965777;0;0
27069300;175.7215655;44.14330867;26.70636607;118.7364203;0;8.202975286;0;0
27070200;175.123147;44.51666835;27.23832695;118.5929561;0;8.649935145;0;0
27071100;173.5947778;39.45631174;28.47006803;118.3260163;0;9.061588767;0;0
27072000;176.9111193;73.41474899;29.61530796;118.9969619;0;9.453989;0;0
27072900;169.9743193;59.54842078;30.51644632;118.8209756;0;9.829071131;0;0
27073800;157.9460428;42.42024118;31.73109942;118.7525668;0;10.15886639;0;0
27074700;163.236086;51.91740332;32.11587316;118.2422257;0;10.42380637;0;0
27075600;162.6763052;50.58027938;31.61294189;117.8397989;0;10.57618943;0;0
27076500;165.0088668;53.94530782;31.23785273;117.1904431;0;10.5952579;0;0
27077400;163.033781;35.91529293;34.95469257;116.6345135;0;10.50722377;0;0
27078300;160.615364;26.05744022;33.83646913;116.1321808;0;10.3579951;0;0
